Trip_ID,Route_ID,Bus_Stop_ID,Scheduled_Arrival,Actual_Arrival,Delay_Minutes,Passenger_Count,Day_of_Week,Weather_Condition,Latitude,Longitude,Bus_Type
TRIP00019,LAG-301,Lekki,2024-01-02 00:55:00,2024-01-02 01:05:00,10,17,Thursday,Foggy,6.441123,3.382867,Standard
TRIP00020,LAG-102,Ajah,2024-01-01 08:06:00,2024-01-01 08:06:00,0,56,Sunday,Sunny,6.557681,3.438385,Standard
TRIP00021,LAG-102,Yaba,2024-01-02 04:13:00,2024-01-02 04:23:00,10,24,Thursday,Sunny,6.554818,3.459333,Mini
TRIP00022,LAG-202,Ajah,2024-01-01 23:03:00,2024-01-01 23:03:00,0,38,Wednesday,Sunny,6.564919,3.413945,Articulated
TRIP00023,LAG-101,Berger,2024-01-02 02:52:00,2024-01-02 02:52:00,0,34,Wednesday,Sunny,6.448881,3.335343,Mini
TRIP00024,LAG-202,Yaba,2024-01-01 20:29:00,2024-01-01 20:31:00,2,39,Monday,Foggy,6.485012,3.416457,Articulated
TRIP00025,LAG-102,Ojuelegba,2024-01-02 02:20:00,2024-01-02 02:35:00,15,31,Wednesday,Rainy,6.562221,3.368896,Standard
TRIP00026,LAG-201,Yaba,2024-01-01 23:24:00,2024-01-01 23:24:00,0,17,Sunday,Sunny,6.480707,3.357408,Articulated
TRIP00027,LAG-201,Ajah,2024-01-01 05:39:00,2024-01-01 05:54:00,15,47,Monday,Foggy,6.582506,3.466624,Mini
TRIP00028,LAG-102,CMS,2024-01-01 13:13:00,2024-01-01 13:13:00,0,57,Friday,Sunny,6.586198,3.421688,Standard
TRIP00029,LAG-202,Ojuelegba,2024-01-01 23:10:00,2024-01-01 23:20:00,10,35,Sunday,Rainy,6.449259,3.368749,Standard
TRIP00030,LAG-202,Yaba,2024-01-01 14:02:00,2024-01-01 14:02:00,0,50,Friday,Cloudy,6.573153,3.476324,Standard
TRIP00031,LAG-301,Ikeja,2024-01-01 15:38:00,2024-01-01 15:38:00,0,0,Thursday,Foggy,6.468869,3.350377,Mini
TRIP00032,LAG-301,Ajah,2024-01-01 09:07:00,2024-01-01 09:07:00,0,45,Tuesday,Rainy,6.595009,3.384944,Standard
TRIP00033,LAG-201,CMS,2024-01-02 01:04:00,2024-01-02 01:04:00,0,25,Friday,Rainy,6.600062,3.493616,Articulated
TRIP00034,LAG-102,CMS,2024-01-01 07:25:00,2024-01-01 07:25:00,0,61,Saturday,Sunny,6.517018,3.381149,Standard
TRIP00035,LAG-101,CMS,2024-01-01 16:16:00,2024-01-01 16:16:00,0,41,Monday,Rainy,6.517969,3.338751,Mini
TRIP00036,LAG-202,Ikeja,2024-01-01 23:24:00,2024-01-01 23:24:00,0,33,Tuesday,Cloudy,6.588947,3.370726,Standard
TRIP00037,LAG-202,Lekki,2024-01-01 11:29:00,2024-01-01 11:29:00,0,45,Monday,Sunny,6.47236,3.444263,Articulated
TRIP00038,LAG-202,VI,2024-01-01 19:27:00,2024-01-01 19:32:00,5,39,Thursday,Cloudy,6.471587,3.453797,Articulated
TRIP00039,LAG-101,Ojuelegba,2024-01-01 07:04:00,2024-01-01 07:04:00,0,61,Thursday,Foggy,6.523761,3.345349,Standard
TRIP00040,LAG-102,Ikeja,2024-01-01 11:29:00,2024-01-01 11:39:00,10,60,Friday,Cloudy,6.486137,3.361708,Standard
TRIP00041,LAG-202,Yaba,2024-01-01 14:30:00,2024-01-01 14:30:00,0,65,Thursday,Rainy,6.432903,3.417056,Standard
TRIP00042,LAG-202,Ojuelegba,2024-01-01 06:43:00,2024-01-01 06:43:00,0,53,Saturday,Sunny,6.542905,3.359642,Standard
TRIP00043,LAG-102,Yaba,2024-01-01 18:52:00,2024-01-01 18:54:00,2,49,Thursday,Cloudy,6.454066,3.387981,Standard
TRIP00044,LAG-202,CMS,2024-01-01 10:37:00,2024-01-01 10:37:00,0,37,Thursday,Sunny,6.591821,3.479148,Mini
TRIP00045,LAG-201,Ajah,2024-01-01 14:44:00,2024-01-01 14:44:00,0,55,Thursday,Cloudy,6.52716,3.420041,Standard
TRIP00046,LAG-102,Berger,2024-01-01 12:25:00,2024-01-01 12:25:00,0,47,Monday,Sunny,6.446293,3.482527,Articulated
TRIP00047,LAG-201,CMS,2024-01-01 06:42:00,2024-01-01 06:57:00,15,18,Friday,Cloudy,6.491112,3.453412,Articulated
TRIP00048,LAG-301,Yaba,2024-01-01 06:56:00,2024-01-01 07:06:00,10,57,Friday,Sunny,6.58524,3.462579,Standard
TRIP00049,LAG-101,Ojuelegba,2024-01-02 04:02:00,2024-01-02 04:04:00,2,43,Sunday,Rainy,6.431609,3.34725,Mini
TRIP00050,LAG-101,Ikeja,2024-01-02 00:45:00,2024-01-02 00:47:00,2,52,Friday,Sunny,6.430886,3.357337,Articulated
TRIP00051,LAG-101,Lekki,2024-01-02 03:26:00,2024-01-02 03:26:00,0,55,Friday,Foggy,6.469247,3.45107,Mini
TRIP00052,LAG-102,VI,2024-01-01 13:08:00,2024-01-01 13:08:00,0,59,Wednesday,Cloudy,6.486945,3.456904,Standard
TRIP00053,LAG-201,Ajah,2024-01-01 15:47:00,2024-01-01 15:49:00,2,46,Sunday,Sunny,6.529454,3.345925,Standard
TRIP00054,LAG-202,Ojuelegba,2024-01-01 07:30:00,2024-01-01 07:30:00,0,54,Friday,Rainy,6.47641,3.371478,Articulated
TRIP00055,LAG-201,Yaba,2024-01-01 16:54:00,2024-01-01 17:14:00,20,53,Monday,Rainy,6.540449,3.465118,Mini
TRIP00056,LAG-201,Yaba,2024-01-01 19:57:00,2024-01-01 19:57:00,0,36,Sunday,Foggy,6.530958,3.413728,Articulated
TRIP00057,LAG-301,CMS,2024-01-02 03:47:00,2024-01-02 03:47:00,0,25,Sunday,Foggy,6.434255,3.43973,Articulated
TRIP00058,LAG-101,Yaba,2024-01-01 14:01:00,2024-01-01 14:01:00,0,54,Monday,Sunny,6.59458,3.492168,Articulated
TRIP00059,LAG-301,Yaba,2024-01-01 14:17:00,2024-01-01 14:32:00,15,38,Wednesday,Rainy,6.599165,3.493815,Articulated
TRIP00060,LAG-201,Ikeja,2024-01-02 04:27:00,2024-01-02 04:37:00,10,51,Saturday,Foggy,6.481529,3.395467,Articulated
TRIP00061,LAG-202,Berger,2024-01-01 06:44:00,2024-01-01 06:54:00,10,26,Monday,Cloudy,6.52744,3.489146,Mini
TRIP00062,LAG-101,CMS,2024-01-01 16:23:00,2024-01-01 16:25:00,2,32,Sunday,Rainy,6.529761,3.34652,Articulated
TRIP00063,LAG-201,Yaba,2024-01-01 20:04:00,2024-01-01 20:06:00,2,55,Friday,Cloudy,6.559635,3.448493,Articulated
TRIP00064,LAG-101,Ojuelegba,2024-01-01 07:34:00,2024-01-01 07:39:00,5,40,Saturday,Rainy,6.492911,3.379911,Articulated
TRIP00065,LAG-101,VI,2024-01-02 00:52:00,2024-01-02 01:02:00,10,44,Friday,Rainy,6.589817,3.416928,Mini
TRIP00066,LAG-102,CMS,2024-01-01 15:31:00,2024-01-01 15:31:00,0,43,Wednesday,Sunny,6.569702,3.440494,Mini
TRIP00067,LAG-102,Ikeja,2024-01-02 03:45:00,2024-01-02 03:50:00,5,43,Monday,Foggy,6.489149,3.393849,Articulated
TRIP00068,LAG-202,Yaba,2024-01-01 13:04:00,2024-01-01 13:04:00,0,42,Sunday,Rainy,6.531199,3.33611,Standard
TRIP00069,LAG-202,CMS,2024-01-01 11:07:00,2024-01-01 11:07:00,0,13,Saturday,Foggy,6.533396,3.335185,Mini
TRIP00070,LAG-102,Berger,2024-01-01 10:26:00,2024-01-01 10:26:00,0,45,Sunday,Sunny,6.573955,3.391232,Mini
TRIP00071,LAG-101,Ajah,2024-01-01 12:35:00,2024-01-01 12:35:00,0,63,Tuesday,Cloudy,6.467769,3.435891,Mini
TRIP00072,LAG-201,Ikeja,2024-01-01 12:36:00,2024-01-01 12:36:00,0,41,Monday,Rainy,6.439044,3.42033,Mini
TRIP00073,LAG-201,Berger,2024-01-01 07:22:00,2024-01-01 07:22:00,0,60,Sunday,Foggy,6.600774,3.417771,Mini
TRIP00074,LAG-301,Lekki,2024-01-02 04:11:00,2024-01-02 04:11:00,0,52,Sunday,Foggy,6.569158,3.376041,Standard
TRIP00075,LAG-101,Berger,2024-01-01 11:05:00,2024-01-01 11:05:00,0,28,Friday,Foggy,6.460327,3.356594,Standard
TRIP00076,LAG-101,Lekki,2024-01-01 16:47:00,2024-01-01 16:47:00,0,64,Saturday,Foggy,6.526115,3.451481,Mini
TRIP00077,LAG-301,Ojuelegba,2024-01-01 18:08:00,2024-01-01 18:10:00,2,45,Friday,Rainy,6.537051,3.401332,Mini
TRIP00078,LAG-101,Lekki,2024-01-01 05:03:00,2024-01-01 05:03:00,0,64,Friday,Rainy,6.492295,3.458834,Mini
TRIP00079,LAG-202,Ojuelegba,2024-01-02 03:40:00,2024-01-02 03:40:00,0,36,Wednesday,Foggy,6.447121,3.413575,Articulated
TRIP00080,LAG-101,Berger,2024-01-01 22:18:00,2024-01-01 22:18:00,0,68,Wednesday,Cloudy,6.46031,3.403755,Mini
TRIP00081,LAG-202,Berger,2024-01-01 23:55:00,2024-01-01 23:55:00,0,63,Tuesday,Rainy,6.437928,3.393684,Mini
TRIP00082,LAG-202,Yaba,2024-01-02 02:00:00,2024-01-02 02:02:00,2,59,Friday,Foggy,6.518049,3.475603,Mini
TRIP00083,LAG-301,CMS,2024-01-01 15:22:00,2024-01-01 15:24:00,2,36,Wednesday,Rainy,6.532511,3.489839,Mini
TRIP00084,LAG-301,VI,2024-01-01 20:52:00,2024-01-01 20:52:00,0,40,Thursday,Cloudy,6.49793,3.439359,Articulated
TRIP00085,LAG-102,Ajah,2024-01-01 10:47:00,2024-01-01 10:47:00,0,50,Saturday,Sunny,6.497568,3.493402,Mini
TRIP00086,LAG-301,VI,2024-01-01 08:11:00,2024-01-01 08:26:00,15,41,Sunday,Rainy,6.464263,3.341791,Articulated
TRIP00087,LAG-201,Ikeja,2024-01-01 11:47:00,2024-01-01 11:47:00,0,32,Tuesday,Sunny,6.485821,3.473629,Standard
TRIP00088,LAG-102,Ajah,2024-01-02 01:51:00,2024-01-02 01:51:00,0,43,Sunday,Sunny,6.572532,3.377915,Mini
TRIP00089,LAG-202,Ikeja,2024-01-02 04:46:00,2024-01-02 04:46:00,0,54,Thursday,Cloudy,6.583558,3.454962,Mini
TRIP00090,LAG-102,Yaba,2024-01-02 03:23:00,2024-01-02 03:33:00,10,61,Saturday,Sunny,6.479356,3.360165,Standard
TRIP00091,LAG-202,Ikeja,2024-01-01 11:00:00,2024-01-01 11:05:00,5,13,Sunday,Cloudy,6.565872,3.387937,Standard
TRIP00092,LAG-301,Ikeja,2024-01-01 09:08:00,2024-01-01 09:23:00,15,21,Thursday,Rainy,6.580222,3.402929,Mini
TRIP00093,LAG-301,VI,2024-01-01 20:06:00,2024-01-01 20:11:00,5,33,Friday,Cloudy,6.587947,3.415893,Articulated
TRIP00094,LAG-202,Yaba,2024-01-01 21:12:00,2024-01-01 21:22:00,10,43,Thursday,Foggy,6.486009,3.482239,Standard
TRIP00095,LAG-201,Ajah,2024-01-02 02:23:00,2024-01-02 02:23:00,0,35,Tuesday,Foggy,6.596261,3.491603,Mini
TRIP00096,LAG-101,Berger,2024-01-01 13:00:00,2024-01-01 13:00:00,0,30,Wednesday,Foggy,6.540572,3.406236,Mini
TRIP00097,LAG-301,Ojuelegba,2024-01-01 09:43:00,2024-01-01 09:43:00,0,58,Tuesday,Rainy,6.561666,3.464568,Mini
TRIP00098,LAG-102,Ikeja,2024-01-01 07:11:00,2024-01-01 07:16:00,5,22,Thursday,Cloudy,6.445961,3.414051,Mini
TRIP00099,LAG-301,Ajah,2024-01-01 19:11:00,2024-01-01 19:11:00,0,8,Monday,Rainy,6.585348,3.389656,Mini
TRIP00100,LAG-202,CMS,2024-01-02 00:39:00,2024-01-02 00:39:00,0,66,Thursday,Cloudy,6.455024,3.459457,Standard
TRIP00101,LAG-201,Berger,2024-01-01 18:18:00,2024-01-01 18:20:00,2,33,Sunday,Cloudy,6.573826,3.450061,Articulated
TRIP00102,LAG-301,Ikeja,2024-01-01 21:39:00,2024-01-01 21:39:00,0,43,Tuesday,Foggy,6.444847,3.497729,Mini
TRIP00103,LAG-202,CMS,2024-01-01 18:16:00,2024-01-01 18:16:00,0,57,Wednesday,Cloudy,6.595769,3.49762,Articulated
TRIP00104,LAG-102,Ajah,2024-01-01 09:21:00,2024-01-01 09:26:00,5,32,Friday,Sunny,6.495845,3.344195,Mini
TRIP00105,LAG-301,CMS,2024-01-01 07:51:00,2024-01-01 07:56:00,5,9,Saturday,Cloudy,6.588612,3.348904,Standard
TRIP00106,LAG-202,Yaba,2024-01-01 06:42:00,2024-01-01 06:42:00,0,63,Wednesday,Cloudy,6.431987,3.409672,Mini
TRIP00107,LAG-102,Ajah,2024-01-01 16:09:00,2024-01-01 16:09:00,0,59,Wednesday,Cloudy,6.53209,3.493569,Mini
TRIP00108,LAG-202,Berger,2024-01-01 07:47:00,2024-01-01 07:47:00,0,51,Thursday,Sunny,6.48,3.477662,Articulated
TRIP00109,LAG-301,CMS,2024-01-01 16:56:00,2024-01-01 16:56:00,0,41,Tuesday,Sunny,6.603769,3.342545,Articulated
TRIP00110,LAG-101,CMS,2024-01-01 13:26:00,2024-01-01 13:26:00,0,54,Tuesday,Sunny,6.599628,3.418927,Articulated
TRIP00111,LAG-102,Ikeja,2024-01-01 09:18:00,2024-01-01 09:20:00,2,33,Thursday,Sunny,6.539823,3.429333,Articulated
TRIP00112,LAG-102,Ajah,2024-01-02 04:52:00,2024-01-02 05:07:00,15,67,Wednesday,Foggy,6.437953,3.377764,Standard
TRIP00113,LAG-301,Ojuelegba,2024-01-01 10:35:00,2024-01-01 10:55:00,20,38,Wednesday,Sunny,6.538523,3.377155,Articulated
TRIP00114,LAG-101,Berger,2024-01-02 00:39:00,2024-01-02 00:39:00,0,54,Saturday,Cloudy,6.511147,3.39007,Mini
TRIP00115,LAG-102,Ojuelegba,2024-01-02 01:12:00,2024-01-02 01:12:00,0,11,Saturday,Rainy,6.572414,3.446404,Standard
TRIP00116,LAG-201,Ojuelegba,2024-01-02 00:19:00,2024-01-02 00:19:00,0,45,Sunday,Sunny,6.589412,3.469831,Mini
TRIP00117,LAG-301,Lekki,2024-01-02 03:34:00,2024-01-02 03:49:00,15,51,Wednesday,Sunny,6.503193,3.488564,Articulated
TRIP00118,LAG-201,CMS,2024-01-01 19:20:00,2024-01-01 19:30:00,10,62,Sunday,Cloudy,6.437913,3.334482,Standard
TRIP00119,LAG-202,VI,2024-01-02 02:41:00,2024-01-02 02:41:00,0,44,Sunday,Cloudy,6.496656,3.494885,Articulated
TRIP00120,LAG-102,Lekki,2024-01-01 11:00:00,2024-01-01 11:10:00,10,23,Saturday,Foggy,6.576708,3.409678,Articulated
TRIP00121,LAG-301,Ajah,2024-01-01 20:52:00,2024-01-01 20:52:00,0,38,Thursday,Foggy,6.581326,3.468193,Mini
TRIP00122,LAG-102,Ojuelegba,2024-01-01 14:31:00,2024-01-01 14:51:00,20,39,Thursday,Rainy,6.604411,3.424423,Mini
TRIP00123,LAG-301,Lekki,2024-01-01 16:28:00,2024-01-01 16:33:00,5,35,Monday,Cloudy,6.452603,3.492189,Mini
TRIP00124,LAG-102,Ajah,2024-01-01 12:14:00,2024-01-01 12:16:00,2,16,Wednesday,Foggy,6.470012,3.444189,Mini
TRIP00125,LAG-201,Berger,2024-01-01 23:58:00,2024-01-02 00:00:00,2,27,Monday,Rainy,6.547525,3.418452,Standard
TRIP00126,LAG-102,Lekki,2024-01-01 21:40:00,2024-01-01 21:45:00,5,35,Friday,Rainy,6.521029,3.474871,Articulated
TRIP00127,LAG-202,Ajah,2024-01-01 20:17:00,2024-01-01 20:17:00,0,55,Sunday,Sunny,6.50061,3.352783,Standard
TRIP00128,LAG-201,Ikeja,2024-01-01 18:48:00,2024-01-01 18:48:00,0,42,Saturday,Rainy,6.562149,3.435453,Mini
TRIP00129,LAG-301,VI,2024-01-01 21:09:00,2024-01-01 21:14:00,5,33,Friday,Foggy,6.432545,3.3896,Mini
TRIP00130,LAG-301,VI,2024-01-01 17:00:00,2024-01-01 17:00:00,0,34,Saturday,Cloudy,6.498643,3.404371,Mini
TRIP00131,LAG-201,Berger,2024-01-01 12:52:00,2024-01-01 13:07:00,15,43,Monday,Rainy,6.567139,3.397412,Mini
TRIP00132,LAG-101,Yaba,2024-01-01 11:32:00,2024-01-01 11:34:00,2,7,Tuesday,Cloudy,6.580914,3.491419,Mini
TRIP00133,LAG-301,Berger,2024-01-01 08:25:00,2024-01-01 08:25:00,0,39,Sunday,Rainy,6.475193,3.408053,Mini
TRIP00134,LAG-102,VI,2024-01-01 11:07:00,2024-01-01 11:27:00,20,51,Wednesday,Sunny,6.516208,3.385888,Articulated
TRIP00135,LAG-301,Yaba,2024-01-01 14:21:00,2024-01-01 14:23:00,2,38,Monday,Sunny,6.452554,3.351768,Articulated
TRIP00136,LAG-201,Yaba,2024-01-02 02:46:00,2024-01-02 02:46:00,0,38,Sunday,Cloudy,6.454295,3.438949,Standard
TRIP00137,LAG-101,Berger,2024-01-01 21:01:00,2024-01-01 21:01:00,0,51,Thursday,Cloudy,6.512943,3.443485,Mini
TRIP00138,LAG-102,CMS,2024-01-01 13:37:00,2024-01-01 13:37:00,0,35,Sunday,Cloudy,6.463651,3.336948,Standard
TRIP00139,LAG-101,Lekki,2024-01-01 21:47:00,2024-01-01 21:47:00,0,27,Monday,Sunny,6.445523,3.350508,Standard
TRIP00140,LAG-102,Berger,2024-01-01 07:54:00,2024-01-01 07:54:00,0,31,Tuesday,Sunny,6.466108,3.391926,Articulated
TRIP00141,LAG-202,Ikeja,2024-01-01 22:50:00,2024-01-01 22:50:00,0,38,Thursday,Cloudy,6.569897,3.436743,Mini
TRIP00142,LAG-201,Lekki,2024-01-01 15:25:00,2024-01-01 15:25:00,0,40,Friday,Sunny,6.582876,3.486548,Articulated
TRIP00143,LAG-101,Ikeja,2024-01-02 02:21:00,2024-01-02 02:21:00,0,52,Tuesday,Foggy,6.560945,3.361369,Articulated
TRIP00144,LAG-101,Yaba,2024-01-01 13:11:00,2024-01-01 13:11:00,0,30,Tuesday,Sunny,6.494833,3.412369,Standard
TRIP00145,LAG-101,Lekki,2024-01-01 20:22:00,2024-01-01 20:24:00,2,30,Saturday,Cloudy,6.560807,3.336236,Mini
TRIP00146,LAG-101,Ikeja,2024-01-01 14:50:00,2024-01-01 14:50:00,0,7,Saturday,Foggy,6.554836,3.482185,Articulated
TRIP00147,LAG-202,Ojuelegba,2024-01-02 04:27:00,2024-01-02 04:27:00,0,25,Tuesday,Foggy,6.508297,3.420545,Articulated
TRIP00148,LAG-301,Ikeja,2024-01-01 19:30:00,2024-01-01 19:30:00,0,41,Monday,Rainy,6.477118,3.394138,Articulated
TRIP00149,LAG-102,Berger,2024-01-01 09:51:00,2024-01-01 09:51:00,0,24,Monday,Sunny,6.487312,3.35036,Standard
TRIP00150,LAG-201,Berger,2024-01-01 19:59:00,2024-01-01 20:09:00,10,30,Monday,Cloudy,6.533879,3.445447,Articulated
TRIP00151,LAG-201,Lekki,2024-01-01 14:17:00,2024-01-01 14:22:00,5,26,Friday,Cloudy,6.523994,3.429763,Mini
TRIP00152,LAG-101,CMS,2024-01-01 19:44:00,2024-01-01 19:49:00,5,39,Saturday,Foggy,6.50554,3.351689,Articulated
TRIP00153,LAG-201,CMS,2024-01-01 08:07:00,2024-01-01 08:07:00,0,60,Tuesday,Sunny,6.529886,3.390536,Articulated
TRIP00154,LAG-201,CMS,2024-01-01 10:58:00,2024-01-01 11:18:00,20,20,Thursday,Cloudy,6.536011,3.370329,Mini
TRIP00155,LAG-102,Lekki,2024-01-02 02:40:00,2024-01-02 02:40:00,0,33,Sunday,Cloudy,6.458119,3.361716,Standard
TRIP00156,LAG-202,VI,2024-01-01 18:56:00,2024-01-01 18:56:00,0,30,Wednesday,Foggy,6.46034,3.48245,Articulated
TRIP00157,LAG-101,Yaba,2024-01-01 16:15:00,2024-01-01 16:15:00,0,2,Thursday,Cloudy,6.601916,3.349047,Mini
TRIP00158,LAG-202,CMS,2024-01-01 20:31:00,2024-01-01 20:31:00,0,50,Monday,Foggy,6.599657,3.477136,Mini
TRIP00159,LAG-201,Ojuelegba,2024-01-01 18:47:00,2024-01-01 18:57:00,10,29,Sunday,Sunny,6.547013,3.487994,Articulated
TRIP00160,LAG-301,Ajah,2024-01-01 19:06:00,2024-01-01 19:06:00,0,32,Monday,Rainy,6.530032,3.377596,Articulated
TRIP00161,LAG-201,Ajah,2024-01-02 02:20:00,2024-01-02 02:25:00,5,31,Thursday,Sunny,6.504451,3.416294,Standard
TRIP00162,LAG-201,Yaba,2024-01-01 14:49:00,2024-01-01 14:49:00,0,24,Thursday,Cloudy,6.450096,3.433805,Standard
TRIP00163,LAG-101,Ikeja,2024-01-01 10:24:00,2024-01-01 10:24:00,0,22,Wednesday,Sunny,6.5142,3.42054,Articulated
TRIP00164,LAG-202,Ojuelegba,2024-01-01 12:40:00,2024-01-01 12:40:00,0,44,Sunday,Sunny,6.488906,3.35285,Mini
TRIP00165,LAG-101,Yaba,2024-01-01 22:00:00,2024-01-01 22:00:00,0,30,Saturday,Foggy,6.549263,3.459239,Articulated
TRIP00166,LAG-201,Lekki,2024-01-01 21:28:00,2024-01-01 21:28:00,0,51,Thursday,Rainy,6.512526,3.400013,Mini
TRIP00167,LAG-301,Yaba,2024-01-01 18:05:00,2024-01-01 18:05:00,0,42,Tuesday,Rainy,6.461716,3.341304,Standard
TRIP00168,LAG-201,Lekki,2024-01-01 16:36:00,2024-01-01 16:41:00,5,41,Sunday,Foggy,6.530533,3.473111,Standard
TRIP00169,LAG-201,Berger,2024-01-02 01:02:00,2024-01-02 01:02:00,0,31,Friday,Cloudy,6.45864,3.357925,Standard
TRIP00170,LAG-202,Ajah,2024-01-01 16:46:00,2024-01-01 16:56:00,10,48,Wednesday,Cloudy,6.54641,3.418921,Mini
TRIP00171,LAG-201,Ikeja,2024-01-02 04:48:00,2024-01-02 04:48:00,0,35,Tuesday,Cloudy,6.572905,3.404653,Standard
TRIP00172,LAG-202,CMS,2024-01-01 15:51:00,2024-01-01 15:51:00,0,54,Saturday,Cloudy,6.510969,3.381234,Articulated
TRIP00173,LAG-202,Lekki,2024-01-02 03:39:00,2024-01-02 03:44:00,5,16,Sunday,Rainy,6.587426,3.395262,Mini
TRIP00174,LAG-101,Yaba,2024-01-01 22:08:00,2024-01-01 22:08:00,0,40,Friday,Foggy,6.588633,3.43612,Standard
TRIP00175,LAG-202,Ojuelegba,2024-01-01 22:57:00,2024-01-01 22:57:00,0,42,Thursday,Sunny,6.488608,3.353676,Articulated
TRIP00176,LAG-102,Lekki,2024-01-02 03:20:00,2024-01-02 03:25:00,5,48,Tuesday,Sunny,6.538513,3.420688,Mini
TRIP00177,LAG-201,VI,2024-01-02 02:16:00,2024-01-02 02:26:00,10,32,Saturday,Cloudy,6.484551,3.372243,Articulated
TRIP00178,LAG-101,VI,2024-01-02 04:01:00,2024-01-02 04:06:00,5,46,Sunday,Cloudy,6.435868,3.426881,Mini
TRIP00179,LAG-202,CMS,2024-01-02 02:04:00,2024-01-02 02:09:00,5,34,Monday,Rainy,6.57372,3.348807,Articulated
TRIP00180,LAG-201,Ikeja,2024-01-01 08:05:00,2024-01-01 08:15:00,10,52,Thursday,Sunny,6.452311,3.397539,Articulated
TRIP00181,LAG-101,Ajah,2024-01-01 10:40:00,2024-01-01 10:45:00,5,33,Saturday,Foggy,6.556394,3.452406,Standard
TRIP00182,LAG-101,VI,2024-01-01 06:54:00,2024-01-01 06:56:00,2,31,Wednesday,Foggy,6.551441,3.422263,Mini
TRIP00183,LAG-202,Yaba,2024-01-01 13:20:00,2024-01-01 13:20:00,0,24,Friday,Cloudy,6.588979,3.429177,Articulated
TRIP00184,LAG-102,Yaba,2024-01-01 10:58:00,2024-01-01 10:58:00,0,32,Monday,Cloudy,6.510851,3.491038,Articulated
TRIP00185,LAG-102,Ajah,2024-01-02 00:54:00,2024-01-02 00:54:00,0,42,Tuesday,Rainy,6.537004,3.333079,Mini
TRIP00186,LAG-201,Ajah,2024-01-01 13:42:00,2024-01-01 13:52:00,10,79,Saturday,Sunny,6.593121,3.426073,Mini
TRIP00187,LAG-201,Yaba,2024-01-01 07:31:00,2024-01-01 07:33:00,2,43,Thursday,Foggy,6.456694,3.427969,Articulated
TRIP00188,LAG-201,Lekki,2024-01-02 04:33:00,2024-01-02 04:35:00,2,46,Wednesday,Cloudy,6.504223,3.455196,Mini
TRIP00189,LAG-102,Lekki,2024-01-01 21:29:00,2024-01-01 21:44:00,15,38,Monday,Rainy,6.449817,3.497423,Mini
TRIP00190,LAG-301,VI,2024-01-02 00:37:00,2024-01-02 00:47:00,10,51,Wednesday,Foggy,6.451816,3.486543,Standard
